date,group,counter
2019_04_05,Racial slurs,0
2019_04_05,Misogynistic language,3
2019_04_05,Homophobic and transphobic language,0
2019_04_05,Ableist language,0
2019_04_05,Fat and Skinny-shaming language,0
2019_04_05,Violent language,0
2021_01_01,Racial slurs,0
2021_01_01,Misogynistic language,2
2021_01_01,Homophobic and transphobic language,0
2021_01_01,Ableist language,0
2021_01_01,Fat and Skinny-shaming language,0
2021_01_01,Violent language,0
2021_01_02,Racial slurs,0
2021_01_02,Misogynistic language,1
2021_01_02,Homophobic and transphobic language,0
2021_01_02,Ableist language,0
2021_01_02,Fat and Skinny-shaming language,0
2021_01_02,Violent language,0
2021_01_05,Racial slurs,0
2021_01_05,Misogynistic language,1
2021_01_05,Homophobic and transphobic language,0
2021_01_05,Ableist language,0
2021_01_05,Fat and Skinny-shaming language,0
2021_01_05,Violent language,0
2021_01_07,Racial slurs,0
2021_01_07,Misogynistic language,1
2021_01_07,Homophobic and transphobic language,0
2021_01_07,Ableist language,0
2021_01_07,Fat and Skinny-shaming language,0
2021_01_07,Violent language,0
2021_01_27,Racial slurs,0
2021_01_27,Misogynistic language,2
2021_01_27,Homophobic and transphobic language,0
2021_01_27,Ableist language,0
2021_01_27,Fat and Skinny-shaming language,0
2021_01_27,Violent language,0
2021_02_02,Racial slurs,0
2021_02_02,Misogynistic language,2
2021_02_02,Homophobic and transphobic language,0
2021_02_02,Ableist language,0
2021_02_02,Fat and Skinny-shaming language,0
2021_02_02,Violent language,0
2021_02_07,Racial slurs,0
2021_02_07,Misogynistic language,1
2021_02_07,Homophobic and transphobic language,0
2021_02_07,Ableist language,0
2021_02_07,Fat and Skinny-shaming language,0
2021_02_07,Violent language,0
2021_02_12,Racial slurs,0
2021_02_12,Misogynistic language,1
2021_02_12,Homophobic and transphobic language,0
2021_02_12,Ableist language,0
2021_02_12,Fat and Skinny-shaming language,0
2021_02_12,Violent language,0
2021_02_16,Racial slurs,0
2021_02_16,Misogynistic language,1
2021_02_16,Homophobic and transphobic language,0
2021_02_16,Ableist language,0
2021_02_16,Fat and Skinny-shaming language,0
2021_02_16,Violent language,0
2021_02_21,Racial slurs,0
2021_02_21,Misogynistic language,1
2021_02_21,Homophobic and transphobic language,0
2021_02_21,Ableist language,0
2021_02_21,Fat and Skinny-shaming language,0
2021_02_21,Violent language,0
2021_02_28,Racial slurs,0
2021_02_28,Misogynistic language,1
2021_02_28,Homophobic and transphobic language,0
2021_02_28,Ableist language,0
2021_02_28,Fat and Skinny-shaming language,0
2021_02_28,Violent language,0
2021_03_26,Racial slurs,0
2021_03_26,Misogynistic language,1
2021_03_26,Homophobic and transphobic language,0
2021_03_26,Ableist language,0
2021_03_26,Fat and Skinny-shaming language,0
2021_03_26,Violent language,0
2021_04_10,Racial slurs,0
2021_04_10,Misogynistic language,1
2021_04_10,Homophobic and transphobic language,0
2021_04_10,Ableist language,0
2021_04_10,Fat and Skinny-shaming language,0
2021_04_10,Violent language,0
2021_04_20,Racial slurs,0
2021_04_20,Misogynistic language,1
2021_04_20,Homophobic and transphobic language,0
2021_04_20,Ableist language,0
2021_04_20,Fat and Skinny-shaming language,0
2021_04_20,Violent language,0
2021_05_04,Racial slurs,0
2021_05_04,Misogynistic language,1
2021_05_04,Homophobic and transphobic language,0
2021_05_04,Ableist language,0
2021_05_04,Fat and Skinny-shaming language,0
2021_05_04,Violent language,0
2021_05_12,Racial slurs,0
2021_05_12,Misogynistic language,1
2021_05_12,Homophobic and transphobic language,0
2021_05_12,Ableist language,0
2021_05_12,Fat and Skinny-shaming language,0
2021_05_12,Violent language,0
2021_05_14,Racial slurs,0
2021_05_14,Misogynistic language,1
2021_05_14,Homophobic and transphobic language,0
2021_05_14,Ableist language,0
2021_05_14,Fat and Skinny-shaming language,0
2021_05_14,Violent language,0
2021_05_28,Racial slurs,0
2021_05_28,Misogynistic language,1
2021_05_28,Homophobic and transphobic language,0
2021_05_28,Ableist language,0
2021_05_28,Fat and Skinny-shaming language,0
2021_05_28,Violent language,0
2021_05_31,Racial slurs,0
2021_05_31,Misogynistic language,1
2021_05_31,Homophobic and transphobic language,0
2021_05_31,Ableist language,0
2021_05_31,Fat and Skinny-shaming language,0
2021_05_31,Violent language,0
2021_06_19,Racial slurs,0
2021_06_19,Misogynistic language,2
2021_06_19,Homophobic and transphobic language,0
2021_06_19,Ableist language,0
2021_06_19,Fat and Skinny-shaming language,0
2021_06_19,Violent language,0
2021_06_24,Racial slurs,0
2021_06_24,Misogynistic language,1
2021_06_24,Homophobic and transphobic language,0
2021_06_24,Ableist language,0
2021_06_24,Fat and Skinny-shaming language,0
2021_06_24,Violent language,0
2021_07_02,Racial slurs,0
2021_07_02,Misogynistic language,1
2021_07_02,Homophobic and transphobic language,0
2021_07_02,Ableist language,0
